sim_type,sim_name,As,bary_Mc,bary_nu,H0,O_cdm,O_nu,Ob,Om,ns,s8,w0
fiducial,cosmo_delta_s8_p,3.1691224537426948e-09,66000000000000.0,0.0,67.36,0.209277442262,0.0014225577379999993,0.0493,0.26,0.9649,0.855,-1.0
fiducial,cosmo_delta_w0_m,2.974497423033077e-09,66000000000000.0,0.0,67.36,0.209277442245,0.0014225577550000118,0.0493,0.26,0.9649,0.84,-1.05
fiducial,cosmo_delta_w0_p,3.155203084017812e-09,66000000000000.0,0.0,67.36,0.209277442283,0.0014225577170000198,0.0493,0.26,0.9649,0.84,-0.95
grid,cosmo_000001,2.0199193653594457e-09,31622776601683.793,0.0,73.0,0.253788765179,0.0012112348209999818,0.045,0.3,0.97,0.9,-1.1665
grid,cosmo_000002,7.943473732381949e-10,177827941003892.28,-1.0,68.5,0.346124397777,0.0013756022230000317,0.0525,0.4,1.02,0.65,-1.58325
grid,cosmo_000003,7.0632570905269764e-09,5623413251903.491,1.0,77.5,0.161425341157,0.0010746588430000162,0.0375,0.2,0.92,1.15,-0.74975
grid,cosmo_000004,4.5847639915057404e-09,2371373705661.6553,0.5,66.25,0.19977937412,0.0014706258800000066,0.04875,0.25,1.045,0.775,-0.541375
grid,cosmo_000006,6.659741288208973e-10,421696503428582.25,1.5,70.75,0.307460500533,0.001289499466999973,0.04125,0.35,0.895,0.525,-0.958125
grid,cosmo_000010,2.5703619336016823e-10,273841963426436.12,0.75,80.875,0.427138162885,0.0009868371149999722,0.046875,0.475,0.9325,0.4625,-1.2706875
grid,cosmo_000011,4.8596310176331605e-09,8659643233600.653,-1.25,71.875,0.241875551814,0.0012494481860000212,0.031875,0.275,1.0325,0.9625,-0.4371875
grid,cosmo_000012,2.641194637676746e-09,3651741272548.377,-0.75,74.125,0.165700252342,0.0011747476579999985,0.058125,0.225,0.9575,0.5875,-0.6455625
grid,cosmo_000014,1.1870282985740323e-09,649381631576211.4,-1.75,78.625,0.288330874394,0.001044125606,0.035625,0.325,1.0075,0.8375,-1.0623125
grid,cosmo_000019,5.036945469643719e-09,220673406908458.97,-1.625,75.8125,0.188564467243,0.0011230327569999934,0.0478125,0.2375,0.87625,1.11875,-1.01021875
grid,cosmo_000020,8.74715803298949e-10,93057204092969.89,-0.125,69.0625,0.242084214463,0.0013532855369999888,0.0440625,0.2875,1.00125,0.49375,-0.80184375
grid,cosmo_000022,2.856644121406748e-09,16548170999431.814,-1.125,64.5625,0.334388992591,0.0015485074089999912,0.0515625,0.3875,0.95125,0.74375,-0.38509375
grid,cosmo_000023,6.423737835749737e-09,523299114681494.7,0.875,73.5625,0.14974471791,0.0011927820900000108,0.0365625,0.1875,1.05125,1.24375,-1.21859375
grid,cosmo_000028,1.3892691131374159e-09,143301257023696.28,0.125,81.4375,0.176839248233,0.0009732517669999788,0.0346875,0.2125,0.91375,0.68125,-1.11440625
grid,cosmo_000030,5.569475380911963e-10,25482967479793.465,1.125,76.9375,0.254222069774,0.001090430225999972,0.0571875,0.3125,1.06375,0.43125,-0.69765625
grid,cosmo_000034,3.462661716389996e-10,35226946514731.016,1.6875,78.90625,0.376932054526,0.0010366954740000309,0.04078125,0.41875,0.960625,0.415625,-0.515328125
grid,cosmo_000039,1.2391532832179881e-08,2641648320386.0923,1.1875,72.15625,0.12297902271,0.001239727290000013,0.04453125,0.16875,0.885625,1.290625,-1.140453125
grid,cosmo_000044,3.043022692866545e-09,22875732003183.957,1.9375,64.28125,0.199531662193,0.0015620878069999913,0.04265625,0.24375,1.023125,0.853125,-1.244640625
grid,cosmo_000047,1.0588988178608917e-08,4067944321083.0474,-1.0625,77.78125,0.107526848819,0.0010669011809999879,0.03515625,0.14375,0.973125,1.103125,-0.827890625
grid,cosmo_000054,3.5225436332043826e-10,3278121151393.4585,0.3125,74.96875,0.345882796243,0.0011484537569999773,0.03421875,0.38125,1.041875,0.509375,-1.400921875
grid,cosmo_000055,1.7195361922428077e-08,103663292843769.8,-1.6875,65.96875,0.130548057734,0.001483192266000001,0.04921875,0.18125,0.941875,1.009375,-0.567421875
grid,cosmo_000056,7.819477375570672e-09,378551524925863.0,0.0625,69.34375,0.122563919856,0.0013423301440000021,0.03234375,0.15625,0.954375,0.821875,-0.671609375
grid,cosmo_000058,6.83026153523553e-10,2128751661796.3726,1.0625,64.84375,0.399871145945,0.0015351040549999861,0.05484375,0.45625,1.004375,0.571875,-1.088359375
grid,cosmo_000062,1.3859732344342984e-09,5048065716667.471,-0.4375,67.09375,0.261222379495,0.0014338705050000317,0.04359375,0.30625,0.929375,0.696875,-1.296734375
grid,cosmo_000063,2.033527819645905e-07,159633854428794.22,1.5625,76.09375,0.046541503869,0.0011147461309999954,0.05859375,0.10625,1.029375,1.196875,-0.463234375
grid,cosmo_000066,5.074289837247033e-10,88168306677557.1,1.78125,73.984375,0.357336407166,0.0011792178339999765,0.050859375,0.409375,1.0621875,0.5484375,-0.9711484375
grid,cosmo_000070,7.563476135370425e-10,37180266639144.74,-0.71875,76.234375,0.326154987385,0.0011106376150000138,0.032109375,0.359375,0.8871875,0.6734375,-1.1795234375
grid,cosmo_000071,7.542711288195714e-08,1175743265920.711,1.28125,67.234375,0.110837746785,0.0014278782149999905,0.047109375,0.159375,0.9871875,1.1734375,-0.3460234375
grid,cosmo_000078,5.376442729950488e-10,57254878843583.79,0.53125,66.109375,0.295163735762,0.001476889237999976,0.037734375,0.334375,0.9746875,0.4859375,-1.4920859375
